condition,baseline,algorithm,metric,n,mean_diff,ci95_lo,ci95_hi,effect_size_dz,paired_t_pvalue,wilcoxon_pvalue
,ORDI,full_replication,control_traffic_ratio,8,0.00021510778830754275,0.00019451558109381513,0.00024106406163290018,6.105229236323469,5.366458215463107e-07,0.0078125
,ORDI,full_replication,protocol_messages_per_delivered_tile,8,7.867607371214471,7.4516234594331205,8.510104935443561,9.887300830875702,1.9203271211850848e-08,0.0078125
,ORDI,full_replication,energy_j_per_delivered_tile,8,454.2942825377777,407.44650949297124,529.4663278937898,5.009732387048152,2.0698494162426434e-06,0.0078125
,ORDI,full_replication,downlink_bits_per_delivered_tile,8,7482315.572690708,5904144.540817872,8673578.93097074,3.497561769908657,2.2971659308370073e-05,0.0078125
,ORDI,full_replication,helper_utilization,8,0.010715374369115793,0.00934397655404303,0.012233311509925678,4.825187068087291,2.6698998804401205e-06,0.0078125
,ORDI,full_replication,active_helper_fraction,8,-0.017361111111111105,-0.031249999999999986,0.0034722222222222238,-0.6822210286372692,0.09497649243577526,0.1875
,ORDI,full_replication,compute_load_balance,8,-0.0784993784608985,-0.098797256061422,-0.05537795223008883,-2.3580141223798035,0.0002853470914013762,0.0078125
,ORDI,full_replication,helper_request_count,8,3354.625,3147.125,3554.75,10.970177767379587,9.32557440037737e-09,0.0078125
,ORDI,full_replication,helper_acceptance_ratio,8,-0.0417773502578373,-0.060381662524363625,-0.030800768257288724,-1.9219863727630662,0.000970174297798666,0.0078125
,ORDI,full_replication,state_age_mean_s,8,66.55794805760262,-18.948562049886498,107.0322483115034,0.7569811103928358,0.06952479602753989,0.1484375
,ORDI,full_replication,state_age_p95_s,8,18.000000000000682,-170.99999999999795,138.00000000000068,0.0760111587745797,0.8359029514552495,0.78125
